Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M4,D8,H14",1313,1507.5,1287,592.5
"M4,D8,H15",1265.5,1275,1334.5,825
"M4,D8,H16",1265.5,1242.5,1334.5,857.5
"M4,D8,H17",948,1287.5,1652,812.5
"M4,D8,H18",948,1237.5,1652,862.5
"M4,D8,H19",777,1237.5,1823,862.5
"M4,D8,H20",750,1277.5,1850,822.5
"M4,D8,H21",1197.5,1292.5,1402.5,807.5
"M4,D8,H22",1250,1350,1350,750
"M4,D8,H23",1502,1535,1098,565
"M4,D8,H24",1502,1672.5,1098,427.5
"M4,D9,H1",2160,1967.5,440,132.5
"M4,D9,H2",2513,1967.5,87,132.5
"M4,D9,H3",2384,1967.5,216,132.5
"M4,D9,H4",2384,1927.5,216,172.5
"M4,D9,H5",2117,1727.5,483,372.5
"M4,D9,H6",2237.5,1772.5,362.5,327.5
"M4,D9,H7",2033,1820,567,280
"M4,D9,H8",2033,1715,567,385
"M4,D9,H9",1692.5,1890,907.5,210
"M4,D9,H10",1339.5,1425,1260.5,675
"M4,D9,H11",1510.5,1425,1089.5,675
"M4,D9,H12",1666.5,1425,933.5,675
"M4,D9,H13",1486,1610,1114,490
"M4,D9,H14",1313,1507.5,1287,592.5
"M4,D9,H15",1265.5,1275,1334.5,825
"M4,D9,H16",1265.5,1242.5,1334.5,857.5
"M4,D9,H17",948,1287.5,1652,812.5
"M4,D9,H18",948,1237.5,1652,862.5
"M4,D9,H19",777,1237.5,1823,862.5
"M4,D9,H20",750,1277.5,1850,822.5
"M4,D9,H21",1197.5,1292.5,1402.5,807.5
"M4,D9,H22",1250,1350,1350,750
"M4,D9,H23",1502,1535,1098,565
"M4,D9,H24",1502,1672.5,1098,427.5
"M4,D10,H1",2160,1967.5,440,132.5
"M4,D10,H2",2513,1967.5,87,132.5
"M4,D10,H3",2384,1967.5,216,132.5
"M4,D10,H4",2384,1927.5,216,172.5
"M4,D10,H5",2117,1727.5,483,372.5
"M4,D10,H6",2237.5,1772.5,362.5,327.5
"M4,D10,H7",2033,1820,567,280
"M4,D10,H8",2033,1715,567,385
"M4,D10,H9",1692.5,1890,907.5,210
"M4,D10,H10",1339.5,1425,1260.5,675
"M4,D10,H11",1510.5,1425,1089.5,675
"M4,D10,H12",1666.5,1425,933.5,675
"M4,D10,H13",1486,1610,1114,490
"M4,D10,H14",1313,1507.5,1287,592.5
"M4,D10,H15",1265.5,1275,1334.5,825
"M4,D10,H16",1265.5,1242.5,1334.5,857.5
"M4,D10,H17",948,1287.5,1652,812.5
"M4,D10,H18",948,1237.5,1652,862.5
"M4,D10,H19",777,1237.5,1823,862.5
"M4,D10,H20",750,1277.5,1850,822.5
"M4,D10,H21",1197.5,1292.5,1402.5,807.5
"M4,D10,H22",1250,1350,1350,750
"M4,D10,H23",1502,1535,1098,565
"M4,D10,H24",1502,1672.5,1098,427.5
"M4,D11,H1",2160,1967.5,440,132.5
"M4,D11,H2",2513,1967.5,87,132.5
"M4,D11,H3",2384,1967.5,216,132.5
"M4,D11,H4",2384,1927.5,216,172.5
"M4,D11,H5",2117,1727.5,483,372.5
"M4,D11,H6",2237.5,1772.5,362.5,327.5
"M4,D11,H7",2033,1820,567,280
"M4,D11,H8",2033,1715,567,385
"M4,D11,H9",1692.5,1890,907.5,210
"M4,D11,H10",1339.5,1425,1260.5,675
"M4,D11,H11",1510.5,1425,1089.5,675
"M4,D11,H12",1666.5,1425,933.5,675
"M4,D11,H13",1486,1610,1114,490
"M4,D11,H14",1313,1507.5,1287,592.5
"M4,D11,H15",1265.5,1275,1334.5,825
"M4,D11,H16",1265.5,1242.5,1334.5,857.5
"M4,D11,H17",948,1287.5,1652,812.5
"M4,D11,H18",948,1237.5,1652,862.5
"M4,D11,H19",777,1237.5,1823,862.5
"M4,D11,H20",750,1277.5,1850,822.5
"M4,D11,H21",1197.5,1292.5,1402.5,807.5
"M4,D11,H22",1250,1350,1350,750
"M4,D11,H23",1502,1535,1098,565
"M4,D11,H24",1502,1672.5,1098,427.5
"M4,D12,H1",2160,1967.5,440,132.5
"M4,D12,H2",2513,1967.5,87,132.5
"M4,D12,H3",2384,1967.5,216,132.5
"M4,D12,H4",2384,1927.5,216,172.5
"M4,D12,H5",2117,1727.5,483,372.5
"M4,D12,H6",2237.5,1772.5,362.5,327.5
"M4,D12,H7",2033,1820,567,280
"M4,D12,H8",2033,1715,567,385
"M4,D12,H9",1692.5,1890,907.5,210
"M4,D12,H10",1339.5,1425,1260.5,675
"M4,D12,H11",1510.5,1425,1089.5,675
"M4,D12,H12",1666.5,1425,933.5,675
"M4,D12,H13",1486,1610,1114,490
"M4,D12,H14",1313,1507.5,1287,592.5
"M4,D12,H15",1265.5,1275,1334.5,825
"M4,D12,H16",1265.5,1242.5,1334.5,857.5
"M4,D12,H17",948,1287.5,1652,812.5
"M4,D12,H18",948,1237.5,1652,862.5
"M4,D12,H19",777,1237.5,1823,862.5
"M4,D12,H20",750,1277.5,1850,822.5
"M4,D12,H21",1197.5,1292.5,1402.5,807.5
"M4,D12,H22",1250,1350,1350,750
"M4,D12,H23",1502,1535,1098,565
"M4,D12,H24",1502,1672.5,1098,427.5
"M4,D13,H1",2160,1967.5,440,132.5
"M4,D13,H2",2513,1967.5,87,132.5
"M4,D13,H3",2384,1967.5,216,132.5
"M4,D13,H4",2384,1927.5,216,172.5
"M4,D13,H5",2117,1727.5,483,372.5
"M4,D13,H6",2237.5,1772.5,362.5,327.5
"M4,D13,H7",2033,1820,567,280
"M4,D13,H8",2033,1715,567,385
"M4,D13,H9",1692.5,1890,907.5,210
"M4,D13,H10",1339.5,1425,1260.5,675
