Pattern,Purchaser_PGVCL,Purchaser_UGVCL,DSMGEN_PGVCL,DSMGEN_UGVCL
"M4, D9",38.275,37.555,24.125,12.845000000000002
"M5, D1",31.32,37.5325,31.08,12.8675
"M5, D10",31.32,37.5325,31.08,12.8675
"M5, D11",31.32,37.5325,31.08,12.8675
"M5, D12",31.32,37.5325,31.08,12.8675
"M5, D13",31.32,37.5325,31.08,12.8675
"M5, D14",31.32,37.5325,31.08,12.8675
"M5, D15",31.32,37.5325,31.08,12.8675
"M5, D16",31.32,37.5325,31.08,12.8675
"M5, D17",31.32,37.5325,31.08,12.8675
"M5, D18",31.32,37.5325,31.08,12.8675
"M5, D19",31.32,37.5325,31.08,12.8675
"M5, D2",31.32,37.5325,31.08,12.8675
"M5, D20",31.32,37.5325,31.08,12.8675
"M5, D21",31.32,37.5325,31.08,12.8675
"M5, D22",31.32,37.5325,31.08,12.8675
"M5, D23",31.32,37.5325,31.08,12.8675
"M5, D24",31.32,37.5325,31.08,12.8675
"M5, D25",31.32,37.5325,31.08,12.8675
"M5, D26",31.32,37.5325,31.08,12.8675
"M5, D27",31.32,37.5325,31.08,12.8675
"M5, D28",31.32,37.5325,31.08,12.8675
"M5, D29",31.32,37.5325,31.08,12.8675
"M5, D3",31.32,37.5325,31.08,12.8675
"M5, D30",31.32,37.5325,31.08,12.8675
"M5, D31",31.32,37.5325,31.08,12.8675
"M5, D4",31.32,37.5325,31.08,12.8675
"M5, D5",31.32,37.5325,31.08,12.8675
"M5, D6",31.32,37.5325,31.08,12.8675
"M5, D7",31.32,37.5325,31.08,12.8675
"M5, D8",31.32,37.5325,31.08,12.8675
"M5, D9",31.32,37.5325,31.08,12.8675
"M6, D1",18.616,25.4525,43.784,24.9475
"M6, D10",18.616,25.4525,43.784,24.9475
"M6, D11",18.616,25.4525,43.784,24.9475
"M6, D12",18.616,25.4525,43.784,24.9475
"M6, D13",18.616,25.4525,43.784,24.9475
"M6, D14",18.616,25.4525,43.784,24.9475
"M6, D15",18.616,25.4525,43.784,24.9475
"M6, D16",18.616,25.4525,43.784,24.9475
"M6, D17",18.616,25.4525,43.784,24.9475
"M6, D18",18.616,25.4525,43.784,24.9475
"M6, D19",18.616,25.4525,43.784,24.9475
"M6, D2",18.616,25.4525,43.784,24.9475
"M6, D20",18.616,25.4525,43.784,24.9475
"M6, D21",18.616,25.4525,43.784,24.9475
"M6, D22",18.616,25.4525,43.784,24.9475
"M6, D23",18.616,25.4525,43.784,24.9475
"M6, D24",18.616,25.4525,43.784,24.9475
"M6, D25",18.616,25.4525,43.784,24.9475
"M6, D26",18.616,25.4525,43.784,24.9475
"M6, D27",18.616,25.4525,43.784,24.9475
"M6, D28",18.616,25.4525,43.784,24.9475
"M6, D29",18.616,25.4525,43.784,24.9475
"M6, D3",18.616,25.4525,43.784,24.9475
"M6, D30",18.616,25.4525,43.784,24.9475
"M6, D4",18.616,25.4525,43.784,24.9475
"M6, D5",18.616,25.4525,43.784,24.9475
"M6, D6",18.616,25.4525,43.784,24.9475
"M6, D7",18.616,25.4525,43.784,24.9475
"M6, D8",18.616,25.4525,43.784,24.9475
"M6, D9",18.616,25.4525,43.784,24.9475
"M7, D1",18.616,25.4525,43.784,24.9475
"M7, D10",18.616,25.4525,43.784,24.9475
"M7, D11",18.616,25.4525,43.784,24.9475
"M7, D12",18.616,25.4525,43.784,24.9475
"M7, D13",18.616,25.4525,43.784,24.9475
"M7, D14",18.616,25.4525,43.784,24.9475
"M7, D15",18.616,25.4525,43.784,24.9475
"M7, D16",18.616,25.4525,43.784,24.9475
"M7, D17",18.616,25.4525,43.784,24.9475
"M7, D18",18.616,25.4525,43.784,24.9475
"M7, D19",18.616,25.4525,43.784,24.9475
"M7, D2",18.616,25.4525,43.784,24.9475
"M7, D20",18.616,25.4525,43.784,24.9475
"M7, D21",18.616,25.4525,43.784,24.9475
"M7, D22",18.616,25.4525,43.784,24.9475
"M7, D23",18.616,25.4525,43.784,24.9475
"M7, D24",18.616,25.4525,43.784,24.9475
"M7, D25",18.616,25.4525,43.784,24.9475
"M7, D26",18.616,25.4525,43.784,24.9475
"M7, D27",18.616,25.4525,43.784,24.9475
"M7, D28",18.616,25.4525,43.784,24.9475
"M7, D29",18.616,25.4525,43.784,24.9475
"M7, D3",18.616,25.4525,43.784,24.9475
"M7, D30",18.616,25.4525,43.784,24.9475
"M7, D31",18.616,25.4525,43.784,24.9475
"M7, D4",18.616,25.4525,43.784,24.9475
"M7, D5",18.616,25.4525,43.784,24.9475
"M7, D6",18.616,25.4525,43.784,24.9475
"M7, D7",18.616,25.4525,43.784,24.9475
